event_id,customer_id,session_id,event_type,event_ts,device_type,browser,os,referrer,country,state,ab_variant,is_logged_in,page_depth,latency_ms,dwell_seconds,cart_value_usd,discount_rate,fraud_score,payment_outcome,sequence_num,product_id,category,promo_code
EVT200000,C47857,S7645111197,page_view,2024-11-14 00:17:09,desktop,Firefox,Linux,organic_search,IN,,A,True,4,331,35,18.12,0.165,0.0,,3,,,NONE
EVT200001,C83195,S1423573902,page_view,2024-08-15 10:42:18,mobile,Chrome,Linux,social,DE,,A,True,1,432,26,33.62,0.083,0.262,,2,,,NONE
EVT200002,C27664,S2829853742,product_view,2024-05-03 23:28:24,mobile,Chrome,Android,email,BR,,B,False,7,360,6,12.26,0.237,0.162,,5,P5735,Home,FREESHIP
EVT200003,C55911,S2500554740,add_to_cart,2024-10-28 18:44:50,desktop,Firefox,Linux,direct,US,AK,B,True,5,414,22,86.55,0.197,0.067,,1,P1730,Pets,FREESHIP
EVT200004,C27347,S3072616664,add_to_cart,2024-07-22 07:43:54,mobile,Chrome,Linux,direct,CA,,B,True,4,381,32,87.78,0.058,0.0,,8,P6252,Pets,WELCOME10
EVT200005,C23328,S4604708841,page_view,2024-06-19 23:03:32,mobile,Safari,iOS,organic_search,CA,,B,True,2,393,23,4.81,0.143,0.445,,10,,,NONE
EVT200006,C34888,S1616710737,page_view,2025-04-25 07:31:44,mobile,Edge,iOS,social,GB,,B,True,5,469,62,0.36,0.064,0.236,,10,,,NONE
EVT200007,C65360,S6384648153,product_view,2025-04-14 00:19:35,mobile,Opera,iOS,social,US,GA,B,False,3,344,75,19.16,0.043,0.222,,8,P4963,Toys,WELCOME10
EVT200008,C15606,S2552279404,product_view,2025-03-31 01:04:28,mobile,Chrome,Android,organic_search,IN,,B,True,4,445,37,20.73,0.241,0.197,,5,P4233,Automotive,NONE
EVT200009,C79747,S3222746611,add_to_cart,2024-01-26 06:26:40,desktop,Firefox,Linux,direct,BR,,A,False,2,663,40,96.74,0.2,0.399,,1,P3077,Apparel,NONE
EVT200010,C81100,S4369229620,product_view,2024-11-19 23:37:30,mobile,Firefox,Android,direct,BR,,B,True,4,342,69,26.02,0.131,0.0,,8,P4662,Grocery,NONE
EVT200011,C17208,S8535000919,add_to_cart,2024-05-28 08:05:37,mobile,Safari,Android,direct,FR,,B,True,6,408,27,161.34,0.219,0.023,,5,P4293,Apparel,WELCOME10
EVT200012,C91660,S5841461999,product_view,2025-01-25 20:43:59,tablet,Edge,iOS,social,AU,,A,False,5,570,26,18.38,0.063,0.0,,10,P9853,Beauty,NONE
EVT200013,C84370,S9560971367,page_view,2024-01-03 11:07:01,mobile,Safari,iOS,paid_search,IN,,A,True,1,392,19,7.69,0.188,0.264,,3,,,NONE
EVT200014,C12686,S8353556615,add_to_cart,2025-02-02 05:59:38,desktop,Opera,macOS,affiliate,GB,,A,True,6,442,43,169.33,0.188,0.108,,2,P9380,Beauty,NONE
EVT200015,C14793,S4862499355,page_view,2024-10-02 05:19:50,mobile,Opera,Windows,direct,GB,,B,False,2,282,35,27.75,0.2,0.081,,9,,,NONE
EVT200016,C85984,S3055275406,product_view,2024-07-03 05:37:30,desktop,Edge,Windows,direct,MX,,B,False,3,324,52,4.22,0.108,0.0,,7,P1678,Pets,NONE
EVT200017,C34317,S1903253902,product_view,2024-06-16 03:23:16,desktop,Firefox,macOS,email,CA,,B,False,3,426,30,34.39,0.049,0.0,,10,P3224,Toys,FREESHIP
EVT200018,C82848,S2698210380,page_view,2024-08-30 06:47:18,desktop,Safari,Windows,paid_search,GB,,A,False,4,276,41,36.56,0.107,0.0,,6,,,NONE
EVT200019,C84259,S2859211092,page_view,2025-06-15 06:05:53,desktop,Firefox,Android,direct,CA,,A,False,6,215,25,39.2,0.094,0.167,,9,,,NONE
EVT200020,C86929,S2658071633,product_view,2024-05-08 00:07:49,mobile,Chrome,Android,direct,AU,,B,True,3,442,11,46.05,0.0,0.094,,5,P6764,Pets,NONE
EVT200021,C24070,S5740497138,product_view,2024-10-11 11:56:26,desktop,Safari,Android,direct,FR,,A,False,4,225,51,11.72,0.135,0.251,,9,P5153,Beauty,WELCOME10
EVT200022,C57519,S2932937516,add_to_cart,2024-08-18 12:52:12,desktop,Safari,macOS,direct,MX,,A,False,4,332,35,70.91,0.238,0.335,,7,P9161,Electronics,FREESHIP
EVT200023,C23342,S6826264038,add_to_cart,2024-02-06 14:47:18,mobile,Safari,Linux,email,US,RI,B,False,3,406,5,131.32,0.122,0.362,,3,P8957,Electronics,NONE
EVT200024,C12219,S5333664528,checkout_start,2024-08-18 02:02:28,desktop,Chrome,Linux,affiliate,GB,,A,True,5,487,35,52.2,0.078,0.0,,5,,,VIP25
EVT200025,C13025,S4267851179,product_view,2024-11-04 23:33:37,desktop,Firefox,Linux,organic_search,MX,,A,False,6,171,38,24.59,0.212,0.03,,5,P8039,Grocery,NONE
EVT200026,C68832,S3232945815,product_view,2024-03-30 20:19:55,mobile,Edge,Windows,email,CA,,B,True,3,541,33,30.96,0.112,0.331,,6,P5033,Grocery,NONE
EVT200027,C61899,S4106354777,page_view,2025-02-10 22:58:42,desktop,Safari,Windows,affiliate,DE,,B,True,7,313,36,32.89,0.147,0.059,,2,,,NONE
EVT200028,C34638,S7719573940,product_view,2024-01-11 19:53:14,tablet,Chrome,iOS,direct,DE,,A,True,2,274,48,35.2,0.119,0.091,,1,P7621,Beauty,NONE
EVT200029,C78144,S5742385367,add_to_cart,2024-11-01 19:02:28,tablet,Chrome,Linux,paid_search,AU,,A,False,2,426,48,187.78,0.0,0.0,,9,P8029,Toys,FREESHIP
EVT200030,C95281,S6400374714,product_view,2024-08-02 18:41:38,mobile,Safari,Windows,organic_search,FR,,B,True,4,225,60,39.36,0.189,0.0,,1,P2505,Electronics,FREESHIP
EVT200031,C21609,S9637068254,page_view,2025-02-02 23:00:07,desktop,Opera,macOS,organic_search,FR,,B,True,3,222,13,28.49,0.118,0.012,,10,,,NONE
EVT200032,C75230,S9945165327,page_view,2024-01-14 03:34:35,desktop,Opera,Windows,organic_search,FR,,A,False,3,583,47,11.22,0.119,0.231,,10,,,NONE
EVT200033,C12667,S4580391061,add_to_cart,2024-05-21 15:37:22,mobile,Edge,Android,paid_search,BR,,B,True,4,507,51,181.8,0.114,0.184,,7,P1766,Electronics,WELCOME10
EVT200034,C13497,S4597223360,page_view,2024-10-23 03:05:04,mobile,Chrome,macOS,email,MX,,A,True,4,454,50,12.3,0.252,0.0,,2,,,NONE
EVT200035,C78114,S8741627194,product_view,2024-01-24 12:41:16,desktop,Edge,iOS,social,CA,,A,True,6,448,45,36.4,0.112,0.04,,7,P8190,Pets,NONE
EVT200036,C96995,S1362474672,checkout_start,2025-01-08 10:01:49,desktop,Firefox,macOS,direct,DE,,B,False,4,450,31,152.45,0.287,0.046,,5,,,HOLIDAY20
EVT200037,C66904,S9416300575,add_to_cart,2025-03-25 08:58:17,desktop,Edge,Android,paid_search,FR,,B,False,1,559,12,130.63,0.215,0.0,,3,P3336,Automotive,FREESHIP
EVT200038,C83922,S3740350372,checkout_start,2024-04-13 03:44:27,mobile,Firefox,Android,email,MX,,B,False,5,236,33,128.25,0.161,0.032,,7,,,NONE
EVT200039,C27051,S4951762950,payment_attempt,2024-05-19 20:41:27,desktop,Safari,iOS,affiliate,MX,,A,False,6,354,17,144.47,0.284,0.07,approved,1,,,FREESHIP
EVT200040,C31997,S4591089179,purchase,2024-08-26 03:42:48,mobile,Chrome,Linux,direct,BR,,B,True,6,426,32,163.73,0.236,0.165,approved,3,P8624,Apparel,FREESHIP
EVT200041,C79997,S1472789052,return_initiated,2025-04-26 11:45:45,mobile,Opera,macOS,direct,MX,,A,True,4,513,28,66.48,0.15,0.357,,5,P3162,Grocery,WELCOME10
EVT200042,C59666,S4834500003,page_view,2024-09-17 23:36:19,mobile,Opera,Android,affiliate,AU,,A,True,1,313,33,4.13,0.089,0.306,,8,,,NONE
EVT200043,C50077,S9836260926,add_to_cart,2024-07-08 23:42:03,desktop,Firefox,iOS,organic_search,AU,,B,True,3,307,26,193.31,0.09,0.022,,9,P7438,Books,NONE
EVT200044,C62766,S8970603082,product_view,2024-09-03 03:45:37,mobile,Opera,Android,direct,AU,,B,True,5,329,60,23.06,0.15,0.032,,3,P7805,Pets,WELCOME10
EVT200045,C63809,S4523327445,add_to_cart,2025-01-27 16:11:37,desktop,Opera,Android,affiliate,BR,,B,False,3,327,59,124.79,0.202,0.199,,3,P7308,Home,WELCOME10
EVT200046,C92238,S8621251501,return_initiated,2024-06-01 23:11:02,desktop,Opera,Linux,direct,AU,,A,True,2,392,59,179.53,0.181,0.007,,8,P9298,Sports,NONE
EVT200047,C19892,S7779533599,product_view,2024-10-01 03:42:25,mobile,Opera,Linux,direct,CA,,A,False,2,485,20,8.72,0.073,0.0,,7,P2902,Electronics,HOLIDAY20
EVT200048,C95580,S5915097710,page_view,2024-06-01 23:34:09,tablet,Safari,macOS,direct,BR,,A,True,4,383,54,33.48,0.108,0.0,,9,,,WELCOME10
EVT200049,C53341,S4464787094,add_to_cart,2025-02-03 22:53:37,desktop,Opera,macOS,paid_search,MX,,B,True,5,368,21,31.21,0.173,0.0,,10,P2477,Toys,NONE
EVT200050,C39349,S7661580048,add_to_cart,2024-05-23 23:28:44,mobile,Chrome,iOS,direct,CA,,A,False,6,211,40,155.44,0.108,0.159,,5,P2420,Apparel,WELCOME10
EVT200051,C99180,S6392143827,product_view,2024-03-30 23:21:45,mobile,Chrome,Android,organic_search,CA,,A,False,2,264,69,2.6,0.243,0.114,,1,P8790,Sports,NONE
EVT200052,C70376,S8609409546,product_view,2024-10-25 00:38:53,mobile,Opera,iOS,direct,CA,,A,True,4,330,53,25.82,0.155,0.404,,6,P9483,Books,WELCOME10
EVT200053,C34780,S3130333442,checkout_start,2024-10-05 10:45:52,mobile,Edge,macOS,email,CA,,B,False,7,257,40,37.65,0.117,0.0,,6,,,WELCOME10
EVT200054,C15927,S2397053057,checkout_start,2024-03-09 13:28:15,desktop,Safari,macOS,direct,IN,,A,True,4,530,57,136.53,0.139,0.142,,10,,,WELCOME10
EVT200055,C79307,S9294093839,product_view,2025-02-03 07:08:26,desktop,Edge,macOS,affiliate,IN,,B,True,4,575,30,16.11,0.163,0.177,,8,P8152,Sports,NONE
EVT200056,C25764,S1144246465,product_view,2025-03-20 03:40:48,mobile,Chrome,Android,paid_search,US,KS,A,True,5,270,65,21.77,0.168,0.048,,10,P4422,Beauty,FREESHIP
EVT200057,C98016,S9717243443,add_to_cart,2024-03-15 22:36:20,mobile,Opera,Android,direct,BR,,B,True,4,396,22,17.5,0.167,0.096,,5,P1552,Sports,NONE
EVT200058,C90090,S9571466531,product_view,2024-08-03 17:03:30,desktop,Firefox,Android,direct,CA,,A,True,4,509,42,5.47,0.076,0.294,,3,P7467,Automotive,NONE
EVT200059,C26971,S6840717477,page_view,2024-07-21 12:04:23,desktop,Edge,Android,email,AU,,A,True,2,252,30,1.15,0.14,0.441,,1,,,WELCOME10
EVT200060,C87661,S6724913641,purchase,2024-07-16 21:27:59,desktop,Safari,Windows,direct,FR,,A,False,6,205,53,169.95,0.158,0.258,approved,2,P6630,Home,FREESHIP
EVT200061,C97967,S4570099480,checkout_start,2024-07-14 23:37:40,mobile,Firefox,Windows,email,IN,,A,True,4,211,49,130.74,0.139,0.0,,9,,,HOLIDAY20
EVT200062,C44685,S9305128524,product_view,2024-08-06 06:00:10,mobile,Firefox,Linux,organic_search,AU,,A,False,4,217,52,12.13,0.254,0.0,,2,P4596,Beauty,NONE
EVT200063,C28647,S3999802391,add_to_cart,2024-07-11 19:01:05,desktop,Safari,Android,direct,GB,,A,True,7,238,59,77.24,0.271,0.171,,8,P2851,Apparel,NONE
EVT200064,C29948,S6316084063,page_view,2024-09-05 14:14:34,mobile,Firefox,Linux,affiliate,MX,,B,False,2,312,39,32.13,0.115,0.345,,1,,,NONE
EVT200065,C63290,S3357758674,purchase,2024-04-30 18:16:51,desktop,Opera,macOS,affiliate,MX,,B,False,6,339,55,59.79,0.1,0.177,approved,8,P1757,Automotive,NONE
EVT200066,C41664,S2903407835,page_view,2024-12-28 14:48:33,desktop,Edge,Android,organic_search,MX,,A,True,3,158,33,19.03,0.123,0.132,,2,,,WELCOME10
EVT200067,C45825,S6702989525,product_view,2025-03-30 02:39:50,mobile,Safari,Linux,organic_search,MX,,A,True,3,435,23,11.86,0.133,0.0,,3,P4304,Toys,WELCOME10
EVT200068,C37799,S6842384487,add_to_cart,2024-12-04 09:11:34,mobile,Firefox,Android,direct,AU,,B,True,2,449,49,100.63,0.223,0.255,,2,P5740,Apparel,WELCOME10
EVT200069,C86880,S8061026123,page_view,2025-04-25 17:40:02,mobile,Opera,Windows,organic_search,DE,,B,False,2,322,60,11.2,0.11,0.0,,7,,,NONE
EVT200070,C47689,S7009304687,page_view,2024-09-16 19:36:29,desktop,Safari,Linux,organic_search,GB,,A,True,4,358,41,35.06,0.157,0.315,,7,,,NONE
EVT200071,C75095,S5735638766,add_to_cart,2024-05-01 17:34:32,desktop,Opera,Android,organic_search,AU,,B,True,5,216,52,53.53,0.146,0.015,,1,P5558,Beauty,FREESHIP
EVT200072,C62741,S6718984823,checkout_start,2025-04-22 01:05:12,desktop,Chrome,iOS,direct,DE,,B,True,4,383,41,113.75,0.114,0.07,,2,,,NONE
EVT200073,C45577,S2178742637,add_to_cart,2024-10-29 04:26:47,mobile,Chrome,Android,organic_search,GB,,A,True,5,429,21,143.46,0.15,0.0,,7,P4358,Sports,WELCOME10
EVT200074,C70892,S3429735478,purchase,2025-03-31 07:19:10,mobile,Opera,Android,paid_search,CA,,A,False,5,478,63,164.93,0.176,0.0,approved,5,P9984,Beauty,NONE
EVT200075,C85239,S4801694114,page_view,2024-03-03 22:14:57,mobile,Edge,Windows,organic_search,FR,,B,True,3,461,70,35.53,0.022,0.0,,2,,,FREESHIP
EVT200076,C28753,S5395621045,page_view,2024-09-07 22:25:15,mobile,Chrome,Windows,paid_search,MX,,B,True,4,438,26,25.0,0.056,0.197,,2,,,NONE
EVT200077,C11527,S9818984744,payment_attempt,2025-03-11 03:23:02,desktop,Chrome,Windows,direct,GB,,B,False,5,414,10,101.57,0.244,0.155,approved,2,,,FREESHIP
EVT200078,C23338,S8082539420,add_to_cart,2024-07-04 19:07:46,desktop,Opera,Linux,paid_search,DE,,B,False,3,413,47,30.64,0.07,0.0,,3,P5249,Electronics,NONE
EVT200079,C52594,S2751683744,page_view,2024-05-17 11:26:49,mobile,Firefox,Linux,email,FR,,A,True,3,437,60,7.97,0.17,0.039,,7,,,WELCOME10
EVT200080,C70244,S5340153384,add_to_cart,2024-04-18 03:45:41,desktop,Opera,iOS,organic_search,IN,,A,True,5,335,44,46.08,0.114,0.066,,1,P6054,Sports,NONE
EVT200081,C17330,S3773961924,checkout_start,2025-05-07 09:05:38,desktop,Chrome,macOS,email,DE,,B,True,5,542,47,172.22,0.211,0.0,,7,,,NONE
EVT200082,C64362,S3396777347,payment_attempt,2024-02-02 01:36:33,mobile,Chrome,Windows,direct,IN,,A,False,5,239,50,50.68,0.112,0.281,approved,7,,,NONE
EVT200083,C89810,S9466776434,page_view,2024-10-17 15:42:46,mobile,Safari,Linux,organic_search,CA,,B,False,4,171,38,6.7,0.147,0.077,,5,,,WELCOME10
EVT200084,C23914,S2931421021,checkout_start,2024-05-08 10:00:19,mobile,Chrome,macOS,organic_search,AU,,A,False,4,306,63,94.51,0.196,0.082,,10,,,NONE
EVT200085,C30183,S5565590177,product_view,2025-05-06 19:38:54,mobile,Opera,iOS,affiliate,AU,,B,True,6,241,46,17.74,0.14,0.228,,9,P9090,Pets,NONE
EVT200086,C68378,S2056728677,product_view,2025-01-20 04:33:33,mobile,Safari,Windows,direct,MX,,B,False,4,367,34,23.99,0.133,0.198,,10,P1215,Apparel,NONE
EVT200087,C77551,S2428365111,checkout_start,2024-03-11 22:58:30,desktop,Safari,Linux,social,FR,,A,True,3,455,39,72.81,0.064,0.233,,4,,,FREESHIP
