edge_id,from_node_id,from_node_type,to_node_id,to_node_type,relationship,timestamp,order_id,category,customer_segment,edge_strength,price_bucket,region,state,campaign,same_household,prior_interactions,dwell_seconds,product_id,unit_price_usd,quantity,returned_flag,auth_approved
EDGE300000,C65482,Customer,P2261,Product,RETURNS,2024-01-27 13:42:26,ORD100938,Books,New,0.348,>$250,EU,WA,SpringSale,False,3,66,P2261,315.87,2,False,False
EDGE300001,C59599,Customer,P7625,Product,PURCHASED,2025-02-07 10:22:55,ORD102431,Toys,Loyal,0.376,<$25,APAC,WI,Holiday,False,4,62,P7625,19.21,1,False,True
EDGE300002,C44719,Customer,P8677,Product,ADDED_TO_CART,2024-01-06 14:04:37,,Pets,Active,0.173,$50-$100,EU,KS,Loyalty,False,5,16,P8677,68.68,2,False,False
EDGE300003,C13897,Customer,P7883,Product,VIEWED,2024-06-04 21:36:14,,Grocery,Active,0.873,$50-$100,NA,NV,Clearance,False,3,44,P7883,74.7,1,False,False
EDGE300004,C30350,Customer,P2015,Product,ADDED_TO_CART,2024-06-23 20:00:17,,Toys,Active,0.167,$50-$100,EU,AR,SpringSale,False,2,17,P2015,52.71,1,False,False
EDGE300005,C53455,Customer,P9721,Product,VIEWED,2025-04-23 17:40:23,,Apparel,Loyal,0.197,$25-$50,LATAM,PA,BackToSchool,False,4,54,P9721,43.96,1,False,False
EDGE300006,C98461,Customer,P8497,Product,PURCHASED,2024-11-07 13:23:24,ORD102371,Apparel,Active,0.172,<$25,NA,CT,SpringSale,False,2,72,P8497,10.91,3,False,True
EDGE300007,C33872,Customer,P7973,Product,PURCHASED,2024-01-20 15:56:17,ORD101522,Beauty,Active,0.975,$25-$50,APAC,KS,Loyalty,False,1,5,P7973,46.83,1,False,True
EDGE300008,C52715,Customer,C69045,Customer,REFERRED_FRIEND,2025-06-06 10:09:40,,Home,New,0.808,$100-$250,EU,TN,None,False,2,30,P4006,220.91,3,False,False
EDGE300009,C19855,Customer,P7609,Product,ADDED_TO_CART,2025-02-14 08:57:26,,Beauty,New,0.569,<$25,APAC,AR,NewArrivals,False,3,44,P7609,12.58,1,False,False
EDGE300010,C53907,Customer,P4469,Product,VIEWED,2025-05-06 19:46:11,,Electronics,Active,0.17,$25-$50,EU,SD,None,False,1,55,P4469,44.81,1,False,False
EDGE300011,C67841,Customer,C46157,Customer,REFERRED_FRIEND,2024-01-07 13:08:15,,Automotive,New,0.28,$100-$250,APAC,OR,BackToSchool,True,4,65,P9100,133.28,1,False,False
EDGE300012,C74251,Customer,P6522,Product,PURCHASED,2025-05-24 21:25:16,ORD102201,Home,AtRisk,0.368,$25-$50,LATAM,MS,Clearance,False,4,72,P6522,47.67,1,False,True
EDGE300013,C40264,Customer,P3828,Product,VIEWED,2024-07-03 05:50:23,,Sports,Active,0.461,$50-$100,EU,KY,NewArrivals,False,4,44,P3828,68.23,1,False,False
EDGE300014,C45254,Customer,P3505,Product,VIEWED,2025-01-25 05:06:09,,Automotive,Active,0.865,>$250,EU,MD,SpringSale,False,4,41,P3505,378.33,1,False,False
EDGE300015,C68296,Customer,P7000,Product,ADDED_TO_CART,2024-06-26 21:19:05,,Pets,Active,0.522,$50-$100,EU,ID,SpringSale,False,6,25,P7000,53.09,1,False,False
EDGE300016,C62925,Customer,P9340,Product,VIEWED,2024-07-05 03:56:58,,Electronics,Active,0.294,>$250,APAC,WY,Holiday,False,4,46,P9340,367.64,1,False,False
EDGE300017,C85139,Customer,C48631,Customer,REFERRED_FRIEND,2024-01-21 14:27:28,,Grocery,Active,0.478,$100-$250,LATAM,IL,Clearance,False,2,29,P5281,169.93,2,False,False
EDGE300018,C62930,Customer,P6061,Product,RETURNS,2024-05-21 08:31:55,ORD100212,Pets,AtRisk,0.551,<$25,NA,NC,SpringSale,False,0,59,P6061,21.35,1,False,False
EDGE300019,C96746,Customer,P7618,Product,PURCHASED,2024-01-13 18:05:43,ORD101776,Pets,New,0.423,$100-$250,NA,WI,BackToSchool,False,4,5,P7618,139.17,1,False,True
EDGE300020,C71041,Customer,P5323,Product,VIEWED,2025-02-14 03:39:12,,Home,Active,0.64,$25-$50,LATAM,IA,Clearance,False,2,36,P5323,40.43,1,False,False
EDGE300021,C69064,Customer,P9081,Product,VIEWED,2024-05-09 22:44:45,,Home,Loyal,0.256,$50-$100,EU,CA,Clearance,False,3,35,P9081,77.5,1,False,False
EDGE300022,P1682,Product,P7548,Product,ALSO_BOUGHT_WITH,2025-03-03 22:23:25,ORD100832,Automotive,Dormant,0.65,$100-$250,LATAM,NJ,BackToSchool,False,3,41,P1682,145.05,1,False,False
EDGE300023,C33580,Customer,P7390,Product,RETURNS,2025-06-13 19:06:38,ORD100615,Grocery,Active,0.153,>$250,NA,PA,NewArrivals,False,4,42,P7390,311.02,2,False,False
EDGE300024,C33227,Customer,P2807,Product,PURCHASED,2024-07-29 08:18:38,ORD100471,Sports,AtRisk,0.769,$50-$100,NA,OH,Clearance,False,4,43,P2807,66.78,1,True,True
EDGE300025,C31312,Customer,P5704,Product,VIEWED,2024-12-04 07:10:27,,Grocery,New,0.584,$100-$250,APAC,GA,BackToSchool,False,3,47,P5704,161.38,2,False,False
EDGE300026,C21155,Customer,C60797,Customer,REFERRED_FRIEND,2025-05-05 19:37:35,,Pets,New,0.736,$25-$50,LATAM,OR,Holiday,True,2,36,P8870,37.83,1,False,False
EDGE300027,C65012,Customer,P5507,Product,PURCHASED,2024-10-04 19:41:54,ORD100668,Beauty,Active,0.686,$25-$50,APAC,ND,SpringSale,False,3,82,P5507,43.83,1,True,True
EDGE300028,C93997,Customer,P3476,Product,RETURNS,2024-02-21 12:23:51,ORD100553,Electronics,Loyal,0.426,$25-$50,NA,AL,NewArrivals,False,2,104,P3476,33.78,3,False,False
EDGE300029,C93975,Customer,C81798,Customer,REFERRED_FRIEND,2024-11-11 19:45:19,,Toys,Loyal,0.624,$25-$50,LATAM,WA,NewArrivals,False,9,59,P7316,37.33,1,False,False
EDGE300030,C68710,Customer,P5248,Product,ADDED_TO_CART,2025-04-24 00:19:58,,Pets,AtRisk,0.125,>$250,NA,AZ,BackToSchool,False,0,36,P5248,290.78,1,False,False
EDGE300031,C16493,Customer,P1317,Product,ADDED_TO_CART,2025-05-07 22:12:44,,Pets,Loyal,0.559,$50-$100,EU,OH,BackToSchool,False,2,54,P1317,51.62,1,False,False
EDGE300032,C98475,Customer,P9114,Product,RETURNS,2025-01-09 01:48:23,ORD102087,Automotive,Active,0.851,<$25,EU,AK,Holiday,False,4,19,P9114,11.19,2,False,False
EDGE300033,C61673,Customer,P3990,Product,ADDED_TO_CART,2024-01-15 18:47:36,,Toys,New,0.757,$25-$50,EU,NH,Loyalty,False,3,5,P3990,29.56,1,False,False
EDGE300034,C56492,Customer,P6242,Product,PURCHASED,2024-04-21 21:43:00,ORD101681,Home,Active,0.28,$25-$50,APAC,AZ,BackToSchool,False,2,48,P6242,30.18,1,True,True
EDGE300035,C26819,Customer,P7093,Product,RETURNS,2024-10-07 14:33:56,ORD101471,Beauty,Active,0.706,$25-$50,APAC,NH,SpringSale,False,3,55,P7093,35.28,2,False,False
EDGE300036,C19546,Customer,P8534,Product,VIEWED,2024-01-24 05:55:55,,Apparel,Active,0.244,$100-$250,APAC,SD,None,False,1,59,P8534,235.17,1,False,False
EDGE300037,C56834,Customer,C99773,Customer,REFERRED_FRIEND,2024-01-21 07:46:02,,Pets,Active,0.43,$50-$100,APAC,VA,Clearance,False,4,39,P6786,76.9,1,False,False
EDGE300038,C41220,Customer,P7203,Product,VIEWED,2024-08-13 00:16:49,,Beauty,Active,0.757,$25-$50,LATAM,NJ,NewArrivals,False,1,56,P7203,37.98,1,False,False
EDGE300039,C17539,Customer,P7437,Product,ADDED_TO_CART,2024-10-10 16:35:49,,Automotive,AtRisk,0.759,$25-$50,APAC,OK,NewArrivals,False,3,5,P7437,38.58,3,False,False
EDGE300040,C24502,Customer,P4312,Product,ADDED_TO_CART,2024-07-03 14:15:27,,Grocery,Active,0.566,<$25,LATAM,IN,Loyalty,False,3,43,P4312,11.98,1,False,False
EDGE300041,C63269,Customer,P8330,Product,ADDED_TO_CART,2024-01-16 00:27:52,,Sports,AtRisk,0.582,$25-$50,NA,MS,SpringSale,False,3,69,P8330,25.75,1,False,False
EDGE300042,C42957,Customer,P3723,Product,ADDED_TO_CART,2025-01-13 04:48:43,,Apparel,New,0.23,$50-$100,APAC,IA,Holiday,False,5,45,P3723,51.04,1,False,False
EDGE300043,C36438,Customer,P3688,Product,PURCHASED,2024-11-12 03:41:09,ORD101448,Sports,Active,0.279,$50-$100,LATAM,NH,Clearance,False,5,77,P3688,50.12,1,False,True
EDGE300044,C35927,Customer,P3723,Product,VIEWED,2024-12-29 19:25:55,,Apparel,Active,0.827,$50-$100,EU,MO,Holiday,False,3,86,P3723,64.68,1,False,False
EDGE300045,C40420,Customer,P9431,Product,PURCHASED,2024-07-01 17:53:03,ORD101541,Toys,AtRisk,0.173,$100-$250,LATAM,CT,Holiday,False,1,26,P9431,246.06,1,False,True
EDGE300046,C98311,Customer,P5334,Product,VIEWED,2024-07-18 02:08:17,,Books,Active,0.584,$25-$50,NA,ME,BackToSchool,False,3,25,P5334,48.25,1,False,False
EDGE300047,C11157,Customer,P5067,Product,ADDED_TO_CART,2025-01-18 01:56:07,,Sports,Active,0.638,$100-$250,EU,UT,BackToSchool,False,4,41,P5067,229.82,2,False,False
EDGE300048,C63308,Customer,P9404,Product,VIEWED,2024-12-18 09:35:35,,Electronics,Loyal,0.85,<$25,NA,UT,None,False,1,57,P9404,13.54,1,False,False
EDGE300049,C83477,Customer,C83064,Customer,REFERRED_FRIEND,2025-02-01 21:04:28,,Books,AtRisk,0.862,>$250,LATAM,KY,BackToSchool,False,3,47,P4531,334.28,1,False,False
EDGE300050,P8352,Product,P3628,Product,ALSO_BOUGHT_WITH,2025-02-26 19:07:56,ORD100978,Apparel,New,0.741,$100-$250,NA,DC,Clearance,False,0,94,P8352,235.64,2,False,False
EDGE300051,C73810,Customer,P2480,Product,VIEWED,2024-03-10 13:37:35,,Toys,New,0.697,$100-$250,EU,LA,NewArrivals,False,1,63,P2480,107.31,2,False,False
EDGE300052,C27319,Customer,P9314,Product,VIEWED,2024-01-05 14:09:27,,Pets,AtRisk,0.653,>$250,APAC,ME,None,False,3,38,P9314,328.05,1,False,False
EDGE300053,C18457,Customer,P9804,Product,VIEWED,2025-04-15 15:53:46,,Books,Active,0.997,>$250,APAC,PA,BackToSchool,False,3,67,P9804,257.71,1,False,False
EDGE300054,C93058,Customer,P6673,Product,VIEWED,2024-07-21 19:47:11,,Grocery,Active,0.812,$50-$100,NA,CO,Loyalty,False,2,45,P6673,63.82,1,False,False
EDGE300055,C83062,Customer,P5408,Product,PURCHASED,2024-08-28 07:09:30,ORD101526,Grocery,Active,0.188,>$250,NA,IA,Holiday,False,0,5,P5408,285.53,2,False,True
EDGE300056,C24850,Customer,P2731,Product,VIEWED,2025-04-11 09:31:46,,Toys,Active,0.929,$100-$250,EU,NC,None,False,1,5,P2731,223.99,2,False,False
EDGE300057,C50776,Customer,P4774,Product,ADDED_TO_CART,2024-12-31 17:26:12,,Pets,AtRisk,0.844,$25-$50,LATAM,TN,Holiday,False,5,55,P4774,32.8,1,False,False
EDGE300058,C11113,Customer,P2215,Product,PURCHASED,2024-12-21 07:07:43,ORD100167,Automotive,Loyal,0.253,<$25,APAC,FL,Holiday,False,3,52,P2215,10.72,3,False,True
EDGE300059,C68091,Customer,P1925,Product,ADDED_TO_CART,2024-12-22 01:56:29,,Grocery,New,0.481,$100-$250,NA,NH,Holiday,False,1,14,P1925,197.51,1,False,False
EDGE300060,C43709,Customer,C21802,Customer,REFERRED_FRIEND,2024-12-07 15:40:12,,Electronics,Active,0.481,$50-$100,APAC,VA,Clearance,False,3,5,P1207,88.8,1,False,False
EDGE300061,C79644,Customer,P3476,Product,RETURNS,2025-03-07 20:56:12,ORD102111,Beauty,Active,0.917,$50-$100,EU,KY,BackToSchool,False,3,13,P3476,65.06,2,False,False
EDGE300062,C79291,Customer,P5928,Product,VIEWED,2025-06-19 07:56:22,,Books,Loyal,0.399,$100-$250,NA,GA,Holiday,False,2,44,P5928,195.03,1,False,False
EDGE300063,C29274,Customer,P8933,Product,VIEWED,2024-02-09 00:11:16,,Sports,Loyal,0.417,$25-$50,NA,AR,NewArrivals,False,0,51,P8933,44.87,3,False,False
EDGE300064,C36164,Customer,P9263,Product,VIEWED,2024-07-05 01:49:15,,Grocery,Active,0.563,$25-$50,APAC,MO,Holiday,False,4,45,P9263,43.93,2,False,False
EDGE300065,C24540,Customer,P8273,Product,PURCHASED,2024-01-21 16:59:29,ORD100726,Books,New,0.569,<$25,EU,NJ,BackToSchool,False,4,55,P8273,18.47,1,False,False
EDGE300066,C59946,Customer,P5254,Product,ADDED_TO_CART,2025-03-30 23:46:48,,Books,Active,0.584,<$25,EU,AK,Loyalty,False,4,50,P5254,17.94,1,False,False
EDGE300067,P1602,Product,P7582,Product,ALSO_BOUGHT_WITH,2024-03-10 22:48:37,ORD100989,Apparel,Loyal,0.169,$50-$100,EU,NM,SpringSale,False,2,59,P1602,52.86,1,False,False
EDGE300068,P9493,Product,P9821,Product,ALSO_BOUGHT_WITH,2024-06-12 03:09:55,ORD101992,Sports,Active,0.343,$25-$50,LATAM,MN,None,False,3,21,P9493,26.05,3,False,False
EDGE300069,P1751,Product,P3756,Product,ALSO_BOUGHT_WITH,2024-02-25 07:58:39,ORD100472,Sports,AtRisk,0.316,<$25,APAC,LA,Clearance,False,4,65,P1751,24.56,2,False,False
EDGE300070,C71916,Customer,P4163,Product,ADDED_TO_CART,2024-05-10 03:41:36,,Home,Active,0.496,$100-$250,LATAM,NE,BackToSchool,False,3,72,P4163,126.08,1,False,False
EDGE300071,C64558,Customer,P5701,Product,PURCHASED,2025-03-30 11:21:00,ORD100860,Books,Loyal,0.862,$100-$250,EU,TX,Loyalty,False,4,49,P5701,118.37,3,False,True
EDGE300072,C32692,Customer,P6118,Product,VIEWED,2024-11-08 04:18:13,,Electronics,Active,0.591,$100-$250,LATAM,WV,SpringSale,False,4,39,P6118,207.31,2,False,False
EDGE300073,C92969,Customer,P5735,Product,VIEWED,2024-12-08 20:55:46,,Toys,New,0.775,>$250,LATAM,NJ,NewArrivals,False,3,12,P5735,782.55,1,False,False
EDGE300074,C74338,Customer,P2923,Product,ADDED_TO_CART,2024-09-18 07:53:50,,Pets,Loyal,0.539,>$250,EU,NM,Holiday,False,3,58,P2923,368.38,4,False,False
EDGE300075,C58220,Customer,P7183,Product,PURCHASED,2025-06-13 09:25:06,ORD102138,Grocery,New,0.249,$50-$100,NA,TX,Loyalty,False,2,14,P7183,68.43,1,False,True
EDGE300076,C32139,Customer,P3614,Product,VIEWED,2024-04-13 09:26:49,,Apparel,New,0.97,$50-$100,EU,NC,BackToSchool,False,5,10,P3614,94.0,1,False,False
EDGE300077,P3278,Product,P8583,Product,ALSO_BOUGHT_WITH,2024-08-29 13:52:53,ORD100017,Apparel,Active,0.59,$25-$50,NA,NE,Loyalty,False,1,60,P3278,36.87,3,False,False
EDGE300078,C49811,Customer,P4436,Product,VIEWED,2024-10-25 01:09:15,,Sports,Active,0.783,$50-$100,NA,KY,Clearance,False,4,98,P4436,63.34,1,False,False
EDGE300079,C68581,Customer,P8965,Product,PURCHASED,2024-07-21 23:37:30,ORD101492,Grocery,Active,0.53,<$25,APAC,ID,None,False,5,13,P8965,20.87,1,True,True
EDGE300080,C35589,Customer,P7288,Product,VIEWED,2025-03-27 17:18:50,,Sports,New,0.519,$25-$50,NA,VT,None,False,1,55,P7288,30.43,1,False,False
EDGE300081,C54089,Customer,P5009,Product,VIEWED,2024-08-22 13:45:11,,Home,Loyal,0.822,$50-$100,EU,IL,BackToSchool,False,3,48,P5009,60.3,1,False,False
EDGE300082,P4709,Product,P4612,Product,ALSO_BOUGHT_WITH,2025-03-31 05:59:28,ORD101518,Toys,New,0.725,<$25,APAC,AR,SpringSale,False,1,63,P4709,18.49,1,False,False
EDGE300083,C44293,Customer,P6387,Product,PURCHASED,2024-06-09 16:04:54,ORD102470,Apparel,AtRisk,0.781,$100-$250,APAC,ME,Loyalty,False,2,53,P6387,195.69,1,False,True
EDGE300084,P4840,Product,P3882,Product,ALSO_BOUGHT_WITH,2024-10-13 22:57:17,ORD102368,Books,Loyal,0.787,$100-$250,EU,AR,None,False,1,32,P4840,173.35,3,False,False
EDGE300085,C88724,Customer,P8838,Product,PURCHASED,2024-11-10 03:06:48,ORD100564,Home,New,0.525,>$250,APAC,DC,Holiday,False,2,37,P8838,365.72,3,True,True
EDGE300086,C78897,Customer,P1653,Product,PURCHASED,2024-09-13 01:51:49,ORD102156,Apparel,Loyal,0.159,$100-$250,NA,NH,Clearance,False,4,5,P1653,206.0,1,False,True
EDGE300087,P1217,Product,P1671,Product,ALSO_BOUGHT_WITH,2024-05-28 10:49:25,ORD101134,Sports,Dormant,0.706,$25-$50,EU,MT,NewArrivals,False,2,36,P1217,40.17,1,False,False
EDGE300088,C20167,Customer,P6964,Product,ADDED_TO_CART,2025-03-20 00:49:12,,Electronics,Active,0.551,>$250,NA,SD,Holiday,False,6,54,P6964,329.17,3,False,False
EDGE300089,C84575,Customer,C62455,Customer,REFERRED_FRIEND,2024-08-04 21:28:07,,Apparel,Dormant,0.321,<$25,EU,WY,None,False,1,49,P7542,19.38,1,False,False
EDGE300090,C79091,Customer,P8131,Product,VIEWED,2024-09-02 03:10:56,,Toys,New,0.742,$50-$100,LATAM,IL,Clearance,False,3,83,P8131,55.65,1,False,False
EDGE300091,C76053,Customer,P2158,Product,ADDED_TO_CART,2024-10-12 00:56:32,,Electronics,Active,0.54,<$25,LATAM,MI,Clearance,False,1,64,P2158,18.02,1,False,False
EDGE300092,C55887,Customer,P8406,Product,VIEWED,2024-07-20 19:35:51,,Apparel,AtRisk,0.798,>$250,APAC,NH,Holiday,False,0,71,P8406,294.17,2,False,False
EDGE300093,P7945,Product,P8454,Product,ALSO_BOUGHT_WITH,2025-02-07 08:38:42,ORD101157,Grocery,Active,0.519,$50-$100,NA,CA,Holiday,False,6,69,P7945,57.83,1,False,False
EDGE300094,C33812,Customer,P6707,Product,VIEWED,2024-08-05 06:58:55,,Apparel,Active,0.379,$25-$50,LATAM,NH,Holiday,False,6,5,P6707,35.36,2,False,False
