order_id,customer_id,order_datetime,ship_datetime,channel,device_type,browser,country,state,payment_method,campaign,primary_category,num_distinct_items,subtotal_usd,discount_rate,discount_amount_usd,shipping_method,shipping_cost_usd,tax_rate,tax_amount_usd,order_total_usd,order_weight_kg,delivery_days,on_time_delivery,authorization_approved,returned
ORD100000,C29457,2024-06-12 02:14:21,2024-06-17 02:14:21,android_app,mobile,Safari,CA,CT,google_pay,Clearance,Books,2,833.34,0.0,0.0,standard,5.05,0.0,0.0,838.39,0.1,5,True,True,False
ORD100001,C22666,2024-08-08 00:16:41,2024-08-11 00:16:41,mobile_web,desktop,Opera,DE,OH,apple_pay,Clearance,Toys,3,392.6,0.034,13.35,standard,9.35,0.0,0.0,388.6,0.2,3,True,True,False
ORD100002,C72623,2024-09-11 06:59:18,2024-09-15 06:59:18,web,desktop,Edge,US,TX,google_pay,BackToSchool,Beauty,3,729.45,0.119,86.8,standard,6.63,0.0923,59.32,708.6,0.85,4,True,True,False
ORD100003,C62733,2025-03-13 15:54:14,2025-03-17 15:54:14,web,mobile,Safari,UK,VT,google_pay,SpringSale,Sports,1,115.3,0.158,18.22,standard,7.15,0.0,0.0,104.23,0.1,4,True,True,False
ORD100004,C62083,2025-02-28 00:20:21,2025-03-06 00:20:21,android_app,tablet,Opera,US,TN,apple_pay,Clearance,Beauty,1,51.7,0.173,8.94,standard,3.96,0.0864,3.69,50.41,0.29,6,False,True,False
ORD100005,C40306,2025-05-02 03:52:38,2025-05-08 03:52:38,android_app,desktop,Opera,US,VT,apple_pay,BackToSchool,Pets,1,727.74,0.119,86.6,standard,3.59,0.09,57.7,702.43,0.12,6,False,True,False
ORD100006,C12557,2024-05-10 21:49:12,2024-05-13 21:49:12,ios_app,desktop,Chrome,US,SD,google_pay,NewArrivals,Electronics,2,183.03,0.129,23.61,standard,9.34,0.0672,10.71,179.47,0.4,3,True,True,False
ORD100007,C15600,2025-01-19 21:44:36,2025-01-24 21:44:36,web,desktop,Edge,US,NY,google_pay,Holiday,Sports,3,2492.1,0.159,396.24,standard,3.49,0.0729,152.79,2252.14,0.16,5,True,True,False
ORD100008,C20729,2024-04-27 23:10:57,2024-05-03 23:10:57,marketplace,mobile,Safari,US,NC,apple_pay,BackToSchool,Books,3,314.83,0.101,31.8,standard,3.26,0.0731,20.69,306.98,1.21,6,False,True,True
ORD100009,C29508,2024-10-21 04:21:15,2024-10-26 04:21:15,android_app,mobile,Firefox,US,NY,google_pay,SpringSale,Apparel,2,146.03,0.136,19.86,standard,4.21,0.0729,9.2,139.58,0.12,5,True,True,False
ORD100010,C55543,2024-03-27 12:14:07,2024-04-01 12:14:07,ios_app,mobile,Firefox,US,PA,klarna,SpringSale,Sports,1,157.14,0.092,14.46,standard,6.25,0.0486,6.93,155.86,0.73,5,True,True,False
